25 50 -1
50 55 1
75 55 1
0 65 1
25 65 1
50 65 1
75 65 1
100 65 1
125 65 1
0 75 1
25 75 1
50 75 1
75 75 1
100 75 1
125 75 1
50 85 1
75 85 1
50 95 1
75 95 1
-25 105 1
0 105 1
25 105 1
50 105 1
75 105 1
100 105 1
125 105 1
150 105 1
-25 115 1
0 115 1
25 115 1
50 115 1
75 115 1
100 115 1
125 115 1
150 115 1
-25 125 1
150 125 1
-25 135 1
25 135 0
100 135 0
150 135 1
-25 145 1
50 145 0
75 145 0
150 145 1
-25 155 1
25 155 0
50 155 0
75 155 0
100 155 0
150 155 1
-25 165 1
50 165 0
75 165 0
150 165 1
-25 175 1
25 175 0
50 175 0
75 175 0
100 175 0
150 175 1
-25 185 1
50 185 0
75 185 0
150 185 1
