0 50 -1
25 20 1 
50 20 1 
75 20 1 
100 20 1 
125 20 1 
150 20 1 
25 30 1 
50 30 0 
75 30 1 
100 30 1 
125 30 0 
150 30 1 
25 40 1 
50 40 1 
75 40 1 
100 40 1 
125 40 1 
150 40 1 
25 50 1 
50 50 0 
75 50 0 
100 50 0 
125 50 0 
150 50 1 
25 60 1 
50 60 1 
75 60 1 
100 60 1 
125 60 1 
150 60 1 
0 70 0 
25 70 1 
50 70 1 
75 70 1 
100 70 1 
125 70 1 
150 70 1 
175 70 0 
0 80 0 
50 80 0 
75 80 0 
100 80 0 
125 80 0 
175 80 0 
0 90 0 
50 90 0 
75 90 0 
100 90 0 
125 90 0 
175 90 0 
0 100 0 
50 100 0 
75 100 0 
100 100 0 
125 100 0 
175 100 0 
0 110 0 
50 110 0 
75 110 0 
100 110 0 
125 110 0 
175 110 0 
50 120 0 
125 120 0 
50 130 0 
125 130 0 
