0 50 -1
25 0 0 
50 0 0 
75 0 0 
100 0 0 
125 0 0 
150 0 0 
25 10 0 
50 10 0 
75 10 0 
100 10 0 
125 10 0 
150 10 0 
25 20 1 
150 20 1 
25 30 0 
50 30 0 
75 30 0 
100 30 0 
125 30 0 
150 30 0 
25 40 0 
50 40 0 
75 40 0 
100 40 0 
125 40 0 
150 40 0 
25 50 1 
150 50 1 
25 60 0 
50 60 0 
75 60 0 
100 60 0 
125 60 0 
150 60 0 
25 70 0 
50 70 0 
75 70 0 
100 70 0 
125 70 0 
150 70 0 
25 80 1 
150 80 1 
25 90 0 
50 90 0 
75 90 0 
100 90 0 
125 90 0 
150 90 0 
25 100 0 
50 100 0 
75 100 0 
100 100 0 
125 100 0 
150 100 0 
25 110 1 
150 110 1 
25 120 0 
50 120 0 
75 120 0 
100 120 0 
125 120 0 
150 120 0 
25 130 0 
50 130 0 
75 130 0 
100 130 0 
125 130 0 
150 130 0 
25 140 1 
150 140 1 
25 150 0 
50 150 0 
75 150 0 
100 150 0 
125 150 0 
150 150 0 
25 160 0 
50 160 0 
75 160 0 
100 160 0 
125 160 0 
150 160 0 
